,word,score
1003,epidemic,0.406
1004,rail,0.406
1005,nuisance,0.406
1006,scrapie,0.406
1007,arguments,0.404
1008,affront,0.403
1009,traumatic,0.402
1010,sodding,0.400
1011,libel,0.400
1012,annoys,0.400
1013,soslow,0.398
1014,watchout,0.398
1015,frenetic,0.397
1016,remiss,0.397
1017,barge,0.396
1018,fraud,0.394
1019,howl,0.394
1020,confiscate,0.394
1021,boxing,0.394
1022,nag,0.394
1023,actionable,0.394
1024,illegal,0.394
1025,keyed,0.394
1026,disrespect,0.394
1027,dangit,0.394
1028,extinguish,0.394
1029,sue,0.394
1030,untoward,0.394
1031,rabble,0.394
1032,unfriendly,0.394
1033,whatsthepoint,0.394
1034,brimstone,0.392
1035,earthquake,0.391
1036,grrrrr,0.391
1037,rigged,0.391
1038,argh,0.391
1039,pique,0.391
1040,recklessness,0.391
1041,dissolution,0.391
1042,disagree,0.389
1043,lawsuit,0.386
1044,despair,0.382
1045,disused,0.382
1046,immorality,0.382
1047,incurable,0.379
1048,pokes,0.379
1049,falsification,0.379
1050,coerce,0.379
1051,touchy,0.379
1052,firstworldprobs,0.379
1053,sore,0.379
1054,difficulty,0.379
1055,rifle,0.379
1056,sizzle,0.379
1057,picket,0.378
1058,concussion,0.377
1059,stuckup,0.375
1060,pessimism,0.375
1061,remand,0.375
1062,pitfall,0.375
1063,rawr,0.375
1064,cannon,0.375
1065,infantile,0.375
1066,disillusionment,0.375
1067,sly,0.375
1068,petpeeve,0.375
1069,militia,0.375
1070,faulty,0.375
1071,inhibit,0.371
1072,vindicate,0.371
1073,nepotism,0.371
1074,distressing,0.371
1075,schizophrenia,0.369
1076,skewed,0.368
1077,disreputable,0.368
1078,forbidding,0.368
1079,conquest,0.367
1080,bark,0.365
1081,leukemia,0.365
1082,unhappy,0.364
1083,burke,0.364
1084,warrior,0.364
1085,disapprove,0.364
1086,challenge,0.364
1087,retarded,0.364
1088,belt,0.364
1089,barks,0.364
1090,opinionated,0.359
1091,restriction,0.359
1092,incompetence,0.359
1093,polemic,0.359
1094,loudness,0.359
1095,paucity,0.359
1096,controversial,0.359
1097,aftermath,0.359
1098,disliked,0.359
1099,litigate,0.359
1100,sectarian,0.359
1101,cad,0.359
1102,broken,0.359
1103,interrupting,0.358
1104,fussy,0.357
1105,wench,0.353
1106,remove,0.351
1107,misbehavior,0.351
1108,brat,0.351
1109,gruff,0.351
1110,scarcity,0.350
1111,losing,0.349
1112,timewasters,0.348
1113,lie,0.348
1114,stigma,0.348
1115,untrustworthy,0.348
1116,deserted,0.348
1117,disagreement,0.348
1118,disappointed,0.348
1119,retract,0.348
1120,ulcer,0.348
1121,pest,0.348
1122,hardened,0.348
1123,defect,0.348
1124,bias,0.345
1125,evade,0.344
1126,antisocial,0.344
1127,unreliable,0.344
1128,misleading,0.344
1129,stingy,0.344
1130,anxiety,0.344
1131,stripped,0.344
1132,impotence,0.344
1133,unsettled,0.344
1134,shaky,0.344
1135,bothering,0.344
1136,pirate,0.344
1137,negation,0.344
1138,shoddy,0.344
1139,disclaim,0.344
1140,deterioration,0.344
1141,interminable,0.343
1142,meddle,0.341
1143,disease,0.341
1144,warp,0.340
1145,averse,0.338
1146,alcoholism,0.338
1147,infamous,0.338
1148,row,0.337
1149,staticky,0.336
1150,illegitimate,0.333
1151,encumbrance,0.333
1152,witchcraft,0.333
1153,paralyzed,0.333
1154,ill,0.333
1155,interrupt,0.333
1156,scorpion,0.333
1157,sinner,0.331
1158,hulk,0.329
1159,inconsiderate,0.329
1160,disqualified,0.328
1161,tighten,0.328
1162,opponent,0.328
1163,phony,0.328
1164,resisting,0.328
1165,fib,0.328
1166,spammers,0.328
1167,dislocated,0.328
1168,brrr,0.328
1169,dashed,0.328
1170,prohibited,0.328
1171,grumpy,0.328
1172,victim,0.328
1173,crusade,0.328
1174,scapegoat,0.328
1175,hiss,0.328
1176,inappropriate,0.324
1177,haye,0.324
1178,loss,0.324
1179,eschew,0.324
1180,neglected,0.324
1181,trickery,0.324
1182,canker,0.323
1183,crunch,0.318
1184,criticism,0.318
1185,queues,0.318
1186,duplicity,0.318
1187,muff,0.318
1188,shriek,0.316
1189,depreciate,0.315
1190,dramaqueen,0.312
1191,carelessness,0.312
1192,dumps,0.312
1193,dupe,0.312
1194,chaff,0.312
1195,poverty,0.312
1196,mortality,0.312
1197,dismissal,0.312
1198,deflate,0.312
1199,revving,0.309
1200,disallowed,0.308
1201,boisterous,0.307
1202,thoughtless,0.307
1203,burial,0.304
1204,sullen,0.303
1205,theocratic,0.303
1206,wince,0.303
1207,involution,0.300
1208,stalemate,0.297
1209,talons,0.297
1210,hoax,0.297
1211,depreciated,0.297
1212,wasteful,0.297
1213,getyourown,0.297
1214,senseless,0.297
1215,depressed,0.297
1216,taxed,0.297
1217,misuse,0.297
1218,paralysis,0.295
1219,displaced,0.294
1220,limited,0.292
1221,disapointment,0.290
1222,orc,0.289
1223,ridiculous,0.289
1224,spine,0.288
1225,sharpen,0.288
1226,presumptuous,0.288
1227,teasing,0.288
1228,homeless,0.288
1229,react,0.288
1230,barrier,0.287
1231,hoot,0.287
1232,twitchy,0.287
1233,myopia,0.283
1234,incompatible,0.281
1235,disconnects,0.281
1236,delinquent,0.281
1237,contraband,0.281
1238,lagging,0.281
1239,shiver,0.281
1240,agh,0.281
1241,restitution,0.281
1242,flexin,0.281
1243,spam,0.281
1244,foray,0.279
1245,noncompliance,0.279
1246,buffering,0.279
1247,unfairness,0.279
1248,troll,0.279
1249,nether,0.278
1250,immaturity,0.273
1251,uncaring,0.273
1252,bugaboo,0.273
1253,bogus,0.273
1254,shock,0.269
1255,feisty,0.269
1256,rapping,0.266
1257,nopoint,0.266
1258,feminism,0.266
1259,pry,0.266
1260,humbug,0.266
1261,inoperative,0.266
1262,defendant,0.266
1263,latent,0.266
1264,notamorningperson,0.266
1265,quandary,0.266
1266,inconvenient,0.266
1267,bear,0.266
1268,interrupts,0.265
1269,fluctuation,0.265
1270,exaggerate,0.263
1271,lose,0.261
1272,stone,0.258
1273,soldier,0.258
1274,furnace,0.258
1275,shoplifting,0.258
1276,tease,0.258
1277,patter,0.258
1278,incompetent,0.257
1279,indoctrination,0.255
1280,attentionseeker,0.250
1281,unfollow,0.250
1282,nonsense,0.250
1283,complicate,0.250
1284,tripping,0.250
1285,untrue,0.250
1286,notoriety,0.250
1287,falsehood,0.250
1288,mastery,0.250
1289,socialist,0.250
1290,skid,0.250
1291,rocket,0.250
1292,noisy,0.250
1293,lawyer,0.250
1294,pouting,0.250
1295,cane,0.250
1296,fenced,0.242
1297,obstacle,0.242
1298,dontunderstand,0.242
1299,detract,0.242
1300,halter,0.242
1301,vampire,0.242
1302,capslock,0.242
1303,witch,0.242
1304,ringer,0.242
1305,frowning,0.239
1306,saber,0.238
1307,hunger,0.235
1308,tariff,0.234
1309,lava,0.234
1310,dabbling,0.234
1311,shell,0.234
1312,imtryingtosleep,0.234
1313,rascal,0.234
1314,recession,0.234
1315,failing,0.234
1316,politics,0.234
1317,wokemeup,0.234
1318,undesirable,0.231
1319,versus,0.227
1320,copycat,0.227
1321,darkness,0.227
1322,resign,0.227
1323,soaked,0.226
1324,unfulfilled,0.225
1325,abandoned,0.222
1326,unattainable,0.221
1327,owing,0.221
1328,bankruptcy,0.221
1329,confusion,0.219
1330,warden,0.219
1331,somethingigetalot,0.219
1332,tool,0.219
1333,compress,0.219
1334,misconception,0.219
1335,whiny,0.219
1336,unhelpful,0.219
1337,mosquito,0.219
